================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:56:10.771 --> 00:56:30.650] patient_1
[00:56:24.035 --> 00:56:24.693] doctor
[00:56:31.747 --> 00:56:35.189] patient_1
[00:56:39.374 --> 00:56:40.387] patient_1
[00:57:24.110 --> 00:57:25.072] patient_1
[00:57:26.253 --> 00:57:29.037] patient_1
[00:59:27.972 --> 00:59:30.503] patient_1
[00:59:31.533 --> 00:59:43.852] patient_1
[00:59:44.780 --> 00:59:50.028] patient_1
[00:59:50.838 --> 00:59:51.968] patient_1
[00:59:52.677 --> 00:59:53.977] patient_1
[01:00:00.031 --> 01:00:01.027] patient_1
[01:00:01.027 --> 01:00:01.887] doctor
[01:00:02.073 --> 01:00:10.038] patient_1
[01:00:10.072 --> 01:00:19.150] doctor
[01:00:19.555 --> 01:00:29.275] patient_1
[01:00:31.975 --> 01:00:32.363] doctor
[01:00:32.583 --> 01:00:35.249] doctor
[01:00:41.510 --> 01:00:42.033] doctor
[01:00:42.488 --> 01:00:43.737] doctor
[01:00:45.053 --> 01:00:46.758] doctor
[01:00:46.960 --> 01:00:53.339] doctor
[01:02:41.440 --> 01:02:48.292] patient_1
[01:02:48.882 --> 01:03:03.327] patient_1
[01:02:58.197 --> 01:03:03.091] doctor
[01:03:03.732 --> 01:03:09.605] patient_1
[01:03:09.942 --> 01:03:22.193] patient_1
[01:03:24.252 --> 01:03:24.978] patient_1
[01:03:25.990 --> 01:03:31.610] patient_1
[01:03:34.175 --> 01:03:44.266] patient_1
[01:03:39.389 --> 01:03:51.539] doctor
[01:04:00.112 --> 01:04:02.035] patient_1
[01:04:02.035 --> 01:04:03.807] doctor
[01:04:04.432 --> 01:04:05.326] doctor
[01:04:06.136 --> 01:04:11.063] doctor
[01:05:08.148 --> 01:05:10.190] doctor
[01:05:10.544 --> 01:05:11.894] doctor
[01:14:31.465 --> 01:14:33.423] doctor
[01:14:58.972 --> 01:14:59.967] patient_1
[01:15:32.414 --> 01:15:36.818] doctor
[01:15:54.976 --> 01:15:55.735] patient_1
[01:16:03.093 --> 01:16:06.856] patient_1
[01:16:04.409 --> 01:16:06.755] doctor
[01:16:07.193 --> 01:16:08.037] patient_1
[01:16:08.037 --> 01:16:08.678] doctor
[01:16:08.678 --> 01:16:10.737] patient_1
[01:16:08.695 --> 01:16:21.908] doctor
