================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[01:45:26.288 --> 01:45:49.475] doctor
[01:45:50.420 --> 01:45:57.389] doctor
[01:45:51.415 --> 01:45:52.225] patient_1
[01:45:57.845 --> 01:47:21.157] doctor
[01:46:00.106 --> 01:46:01.270] patient_1
[01:46:32.489 --> 01:46:33.957] patient_1
[01:46:34.801 --> 01:46:35.577] patient_1
[01:46:46.023 --> 01:46:46.715] patient_1
[01:46:48.925 --> 01:46:49.280] patient_1
[01:46:51.963 --> 01:46:52.553] patient_1
[01:47:17.343 --> 01:47:18.693] patient_1
[01:47:22.405 --> 01:47:27.147] doctor
[01:47:28.126 --> 01:47:37.036] doctor
[01:47:38.521 --> 01:47:42.166] doctor
[01:47:40.782 --> 01:47:41.390] patient_1
[01:47:43.853 --> 01:47:47.903] doctor
[01:47:48.207 --> 01:47:49.507] doctor
[01:47:50.418 --> 01:47:51.886] doctor
[01:47:52.780 --> 01:47:56.543] doctor
[01:47:57.725 --> 01:48:00.509] doctor
[01:48:00.813 --> 01:48:22.075] doctor
[01:48:18.177 --> 01:48:19.375] patient_1
[01:48:23.105 --> 01:48:24.995] doctor
[01:48:25.231 --> 01:48:31.559] doctor
[01:48:25.602 --> 01:48:27.931] patient_1
[01:48:30.445 --> 01:48:30.867] patient_1
[01:48:31.627 --> 01:48:36.352] doctor
[01:48:36.537 --> 01:48:37.685] doctor
[01:48:38.309 --> 01:48:39.575] doctor
